"","X","Method","Participants","On.Campus.Student","Private.event"
"3",3,"7","8",0,1
"4",4,"7","8",0,1
"5",5,"4","1",0,0
"6",6,"4","1",0,0
"8",8,"4","1",0,0
"9",9,"4","1",0,0
"10",10,"6","1",0,0
"11",11,"6","3",0,0
"12",12,"3","4",0,0
"13",13,"0","4",0,0
"15",15,"6","5",0,0
"16",16,"7","1",0,0
"18",18,"6","3",0,0
"19",19,"6","6",0,0
"20",20,"6","1",0,0
"21",21,"6","1",0,0
"22",22,"6","1",0,0
"23",23,"4","1",0,0
"24",24,"6","1",0,0
"28",28,"7","1",0,0
"29",29,"6","3",0,0
"30",30,"6","4",0,0
"31",31,"7","3",0,1
"32",32,"6","2",0,0
"33",33,"4","4",0,0
"34",34,"7","8",0,1
"35",35,"7","8",0,1
"36",36,"5","8",0,0
"37",37,"5","5",0,0
"38",38,"4","1",0,0
"39",39,"6","1",0,0
"40",40,"4","1",0,0
"41",41,"6","7",0,0
"42",42,"4","1",0,0
"43",43,"1","4",0,0
"45",45,"4","3",0,0
"46",46,"7","3",0,0
"47",47,"2","8",0,0
"48",48,"4","1",0,0
"49",49,"4","6",0,0
"50",50,"4","1",0,0
"52",52,"2","4",0,0
"53",53,"2","3",0,0
"54",54,"6","2",0,0
"55",55,"4","3",0,0
"56",56,"6","4",0,0
"58",58,"0","8",0,0
"60",60,"4","1",0,0
"61",61,"2","4",0,0
"62",62,"5","6",0,0
"63",63,"2","4",0,0
"64",64,"2","3",0,0
"65",65,"2","3",0,0
"66",66,"2","4",0,0
"67",67,"7","2",0,0
"68",68,"2","2",0,0
"69",69,"5","7",0,0
"70",70,"6","1",0,0
"71",71,"5","2",0,0
"73",73,"5","3",0,0
"75",75,"5","4",0,0
"76",76,"3","7",0,0
"77",77,"6","6",0,0
"78",78,"6","6",0,0
"80",80,"5","5",0,0
"81",81,"7","5",0,0
"82",82,"5","6",0,0
"83",83,"5","8",0,0
"84",84,"3","2",2,0
"87",87,"3","1",1,0
"89",89,"7","4",4,0
"90",90,"4","2",2,0
"91",91,"2","8",8,0
"92",92,"7","1",1,0
"93",93,"6","1",1,0
"94",94,"0","5",5,0
"95",95,"6","2",2,0
"96",96,"0","7",7,0
"97",97,"4","6",6,0
"98",98,"3","3",3,0
"100",100,"7","3",3,0
"101",101,"2","8",8,0
"102",102,"6","2",2,0
"104",104,"2","4",4,0
"105",105,"3","1",1,0
"108",108,"6","1",1,0
"109",109,"6","1",1,0
"110",110,"6","1",1,0
"111",111,"2","2",2,0
"112",112,"2","6",6,0
"113",113,"1","3",3,0
"114",114,"4","4",4,0
"115",115,"0","6",6,0
"116",116,"3","1",1,0
"117",117,"0","5",5,0
"118",118,"0","4",4,0
"119",119,"2","4",4,0
"121",121,"2","5",5,0
"122",122,"7","1",1,0
"123",123,"2","4",4,0
"124",124,"6","1",1,0
"125",125,"3","1",1,0
"126",126,"6","1",1,0
"128",128,"5","1",1,0
"129",129,"3","1",1,0
"130",130,"4","1",1,0
"131",131,"0","2",2,0
"132",132,"7","1",1,0
"133",133,"6","1",1,0
"135",135,"6","1",1,0
"136",136,"2","1",1,0
"137",137,"7","1",1,0
"138",138,"4","2",2,0
"139",139,"0","2",2,0
"140",140,"3","3",3,0
"141",141,"2","1",1,0
"143",143,"6","1",1,0
"144",144,"6","1",1,0
"145",145,"4","2",2,0
"146",146,"7","2",2,0
"147",147,"4","8",8,0
"148",148,"4","4",4,0
"149",149,"4","1",1,0
"150",150,"3","1",1,0
"152",152,"3","1",1,0
"153",153,"2","4",4,0
"154",154,"0","2",2,0
"156",156,"3","1",1,0
"157",157,"6","3",3,0
"159",159,"6","1",1,0
"160",160,"6","1",1,0
"161",161,"2","2",2,0
"163",163,"3","1",1,0
"164",164,"6","1",1,0
"165",165,"7","1",1,0
"166",166,"7","1",1,0
"169",169,"7","1",1,0
"170",170,"6","1",1,0
"171",171,"6","1",1,0
"172",172,"0","2",2,0
"175",175,"4","6",6,0
"176",176,"6","1",1,0
"178",178,"3","5",5,0
"179",179,"0","2",2,0
"181",181,"0","6",6,0
"182",182,"2","2",2,0
"184",184,"4","4",4,0
"186",186,"4","4",4,0
"188",188,"4","1",1,0
"189",189,"6","1",1,0
"190",190,"0","5",5,0
"191",191,"4","8",8,0
"192",192,"0","5",5,0
"193",193,"0","2",2,0
"194",194,"0","1",1,0
"195",195,"3","8",8,0
"196",196,"6","2",2,0
"197",197,"6","1",1,0
"198",198,"6","5",5,0
"199",199,"6","3",3,0
"200",200,"6","1",1,0
"202",202,"6","1",1,0
"203",203,"7","1",1,0
"204",204,"2","7",0,0
"205",205,"6","8",0,0
"207",207,"4","3",0,0
"208",208,"4","1",0,0
"209",209,"6","1",0,0
"210",210,"7","1",0,0
"212",212,"5","2",0,0
"213",213,"7","1",0,0
"214",214,"6","1",0,0
"215",215,"7","2",0,0
"216",216,"0","2",0,0
"218",218,"7","7",0,1
"219",219,"5","6",0,0
"220",220,"5","4",0,0
"222",222,"7","8",0,1
"223",223,"7","8",0,1
"225",225,"3","7",0,0
"226",226,"6","5",0,1
"227",227,"6","4",0,1
"228",228,"6","5",0,1
"229",229,"6","1",0,0
"230",230,"7","1",0,0
"231",231,"3","3",0,0
"232",232,"5","8",0,0
"233",233,"7","3",0,0
"234",234,"6","6",0,0
"235",235,"7","8",0,1
"236",236,"7","8",0,1
"238",238,"7","6",0,1
"239",239,"7","5",0,1
