"","Method","Participants","On.Campus.Student","Private.event"
"1",4,1,1,0
"2",2,2,0,0
"3",7,8,0,1
"4",7,8,0,1
"5",4,1,0,0
"6",4,1,0,0
"7",7,3,0,0
"8",4,1,0,0
"9",4,1,0,0
"10",6,1,0,0
"11",6,3,0,0
"12",3,4,0,0
"13",0,4,0,0
"14",7,8,0,1
"15",6,5,0,0
"16",7,1,0,0
"17",6,1,0,0
"18",6,3,0,0
"19",6,6,0,0
"20",6,1,0,0
"21",6,1,0,0
"22",6,1,0,0
"23",4,1,0,0
"24",6,1,0,0
"25",6,1,0,0
"26",6,6,0,0
"27",6,3,0,0
"28",7,1,0,0
"29",6,3,0,0
"30",6,4,0,0
"31",7,3,0,1
"32",6,2,0,0
"33",4,4,0,0
"34",7,8,0,1
"35",7,8,0,1
"36",5,8,0,0
"37",5,5,0,0
"38",4,1,0,0
"39",6,1,0,0
"40",4,1,0,0
"41",6,7,0,0
"42",4,1,0,0
"43",1,4,0,0
"44",5,3,0,0
"45",4,3,0,0
"46",7,3,0,0
"47",2,8,0,0
"48",4,1,0,0
"49",4,6,0,0
"50",4,1,0,0
"51",2,3,0,0
"52",2,4,0,0
"53",2,3,0,0
"54",6,2,0,0
"55",4,3,0,0
"56",6,4,0,0
"57",6,7,0,0
"58",0,8,0,0
"59",6,4,0,0
"60",4,1,0,0
"61",2,4,0,0
"62",5,6,0,0
"63",2,4,0,0
"64",2,3,0,0
"65",2,3,0,0
"66",2,4,0,0
"67",7,2,0,0
"68",2,2,0,0
"69",5,7,0,0
"70",6,1,0,0
"71",5,2,0,0
"72",0,5,0,0
"73",5,3,0,0
"74",7,1,0,0
"75",5,4,0,0
"76",3,7,0,0
"77",6,6,0,0
"78",6,6,0,0
"79",5,3,0,0
"80",5,5,0,0
"81",7,5,0,0
"82",5,6,0,0
"83",5,8,0,0
"84",3,2,2,0
"85",4,3,3,0
"86",3,1,1,0
"87",3,1,1,0
"88",4,5,5,0
"89",7,4,4,0
"90",4,2,2,0
"91",2,8,8,0
"92",7,1,1,0
"93",6,1,1,0
"94",0,5,5,0
"95",6,2,2,0
"96",0,7,7,0
"97",4,6,6,0
"98",3,3,3,0
"99",6,3,3,0
"100",7,3,3,0
"101",2,8,8,0
"102",6,2,2,0
"103",2,3,3,0
"104",2,4,4,0
"105",3,1,1,0
"106",6,5,5,0
"107",3,1,1,0
"108",6,1,1,0
"109",6,1,1,0
"110",6,1,1,0
"111",2,2,2,0
"112",2,6,6,0
"113",1,3,3,0
"114",4,4,4,0
"115",0,6,6,0
"116",3,1,1,0
"117",0,5,5,0
"118",0,4,4,0
"119",2,4,4,0
"120",6,1,1,0
"121",2,5,5,0
"122",7,1,1,0
"123",2,4,4,0
"124",6,1,1,0
"125",3,1,1,0
"126",6,1,1,0
"127",6,1,1,0
"128",5,1,1,0
"129",3,1,1,0
"130",4,1,1,0
"131",0,2,2,0
"132",7,1,1,0
"133",6,1,1,0
"134",2,1,1,0
"135",6,1,1,0
"136",2,1,1,0
"137",7,1,1,0
"138",4,2,2,0
"139",0,2,2,0
"140",3,3,3,0
"141",2,1,1,0
"142",6,2,2,0
"143",6,1,1,0
"144",6,1,1,0
"145",4,2,2,0
"146",7,2,2,0
"147",4,8,8,0
"148",4,4,4,0
"149",4,1,1,0
"150",3,1,1,0
"151",6,1,1,0
"152",3,1,1,0
"153",2,4,4,0
"154",0,2,2,0
"155",0,2,2,0
"156",3,1,1,0
"157",6,3,3,0
"158",7,1,1,0
"159",6,1,1,0
"160",6,1,1,0
"161",2,2,2,0
"162",6,2,2,0
"163",3,1,1,0
"164",6,1,1,0
"165",7,1,1,0
"166",7,1,1,0
"167",0,2,2,0
"168",6,1,1,0
"169",7,1,1,0
"170",6,1,1,0
"171",6,1,1,0
"172",0,2,2,0
"173",3,4,4,0
"174",0,8,8,0
"175",4,6,6,0
"176",6,1,1,0
"177",0,7,7,0
"178",3,5,5,0
"179",0,2,2,0
"180",5,8,8,0
"181",0,6,6,0
"182",2,2,2,0
"183",6,4,4,0
"184",4,4,4,0
"185",0,4,4,0
"186",4,4,4,0
"187",6,1,1,0
"188",4,1,1,0
"189",6,1,1,0
"190",0,5,5,0
"191",4,8,8,0
"192",0,5,5,0
"193",0,2,2,0
"194",0,1,1,0
"195",3,8,8,0
"196",6,2,2,0
"197",6,1,1,0
"198",6,5,5,0
"199",6,3,3,0
"200",6,1,1,0
"201",6,2,2,0
"202",6,1,1,0
"203",7,1,1,0
"204",2,7,0,0
"205",6,8,0,0
"206",5,8,0,0
"207",4,3,0,0
"208",4,1,0,0
"209",6,1,0,0
"210",7,1,0,0
"211",0,2,0,0
"212",5,2,0,0
"213",7,1,0,0
"214",6,1,0,0
"215",7,2,0,0
"216",0,2,0,0
"217",7,6,0,1
"218",7,7,0,1
"219",5,6,0,0
"220",5,4,0,0
"221",7,8,0,1
"222",7,8,0,1
"223",7,8,0,1
"224",7,8,0,1
"225",3,7,0,0
"226",6,5,0,1
"227",6,4,0,1
"228",6,5,0,1
"229",6,1,0,0
"230",7,1,0,0
"231",3,3,0,0
"232",5,8,0,0
"233",7,3,0,0
"234",6,6,0,0
"235",7,8,0,1
"236",7,8,0,1
"237",6,5,0,0
"238",7,6,0,1
"239",7,5,0,1
"240",7,5,0,1
