,Method,Participants,On-Campus Student,Private event
67,4,1,1,0
123,2,2,0,0
124,7,8,0,1
125,7,8,0,1
126,4,1,0,0
127,4,1,0,0
128,7,3,0,0
129,4,1,0,0
130,4,1,0,0
131,6,1,0,0
132,6,3,0,0
133,3,4,0,0
134,0,4,0,0
135,7,8,0,1
136,6,5,0,0
137,7,1,0,0
138,6,1,0,0
139,6,3,0,0
140,6,6,0,0
141,6,1,0,0
142,6,1,0,0
143,6,1,0,0
144,4,1,0,0
145,6,1,0,0
146,6,1,0,0
147,6,6,0,0
148,6,3,0,0
149,7,1,0,0
150,6,3,0,0
151,6,4,0,0
152,7,3,0,1
153,6,2,0,0
154,4,4,0,0
155,7,8,0,1
156,7,8,0,1
157,5,8,0,0
158,5,5,0,0
159,4,1,0,0
160,6,1,0,0
161,4,1,0,0
162,6,7,0,0
163,4,1,0,0
164,1,4,0,0
165,5,3,0,0
166,4,3,0,0
167,7,3,0,0
168,2,8,0,0
169,4,1,0,0
170,4,6,0,0
171,4,1,0,0
172,2,3,0,0
173,2,4,0,0
174,2,3,0,0
175,6,2,0,0
176,4,3,0,0
177,6,4,0,0
178,6,7,0,0
179,0,8,0,0
180,6,4,0,0
181,4,1,0,0
182,2,4,0,0
183,5,6,0,0
184,2,4,0,0
185,2,3,0,0
186,2,3,0,0
187,2,4,0,0
188,7,2,0,0
189,2,2,0,0
190,5,7,0,0
191,6,1,0,0
192,5,2,0,0
193,0,5,0,0
194,5,3,0,0
195,7,1,0,0
196,5,4,0,0
197,3,7,0,0
198,6,6,0,0
199,6,6,0,0
200,5,3,0,0
201,5,5,0,0
202,7,5,0,0
203,5,6,0,0
204,5,8,0,0
205,3,2,2,0
206,4,3,3,0
207,3,1,1,0
208,3,1,1,0
209,4,5,5,0
210,7,4,4,0
211,4,2,2,0
212,2,8,8,0
213,7,1,1,0
214,6,1,1,0
215,0,5,5,0
216,6,2,2,0
217,0,7,7,0
218,4,6,6,0
219,3,3,3,0
220,6,3,3,0
221,7,3,3,0
222,2,8,8,0
223,6,2,2,0
224,2,3,3,0
225,2,4,4,0
226,3,1,1,0
227,6,5,5,0
228,3,1,1,0
229,6,1,1,0
230,6,1,1,0
231,6,1,1,0
232,2,2,2,0
233,2,6,6,0
234,1,3,3,0
235,4,4,4,0
236,0,6,6,0
237,3,1,1,0
238,0,5,5,0
239,0,4,4,0
240,2,4,4,0
241,6,1,1,0
242,2,5,5,0
243,7,1,1,0
244,2,4,4,0
245,6,1,1,0
246,3,1,1,0
247,6,1,1,0
248,6,1,1,0
249,5,1,1,0
250,3,1,1,0
251,4,1,1,0
252,0,2,2,0
253,7,1,1,0
254,6,1,1,0
255,2,1,1,0
256,6,1,1,0
257,2,1,1,0
258,7,1,1,0
259,4,2,2,0
260,0,2,2,0
261,3,3,3,0
262,2,1,1,0
263,6,2,2,0
264,6,1,1,0
265,6,1,1,0
266,4,2,2,0
267,7,2,2,0
268,4,8,8,0
269,4,4,4,0
270,4,1,1,0
271,3,1,1,0
272,6,1,1,0
273,3,1,1,0
274,2,4,4,0
275,0,2,2,0
276,0,2,2,0
277,3,1,1,0
278,6,3,3,0
279,7,1,1,0
280,6,1,1,0
281,6,1,1,0
282,2,2,2,0
283,6,2,2,0
284,3,1,1,0
285,6,1,1,0
286,7,1,1,0
287,7,1,1,0
288,0,2,2,0
289,6,1,1,0
290,7,1,1,0
291,6,1,1,0
292,6,1,1,0
293,0,2,2,0
294,3,4,4,0
295,0,8,8,0
296,4,6,6,0
297,6,1,1,0
298,0,7,7,0
299,3,5,5,0
300,0,2,2,0
301,5,8,8,0
302,0,6,6,0
303,2,2,2,0
304,6,4,4,0
305,4,4,4,0
306,0,4,4,0
307,4,4,4,0
308,6,1,1,0
309,4,1,1,0
310,6,1,1,0
311,0,5,5,0
312,4,8,8,0
313,0,5,5,0
314,0,2,2,0
315,0,1,1,0
316,3,8,8,0
317,6,2,2,0
318,6,1,1,0
319,6,5,5,0
320,6,3,3,0
321,6,1,1,0
322,6,2,2,0
323,6,1,1,0
324,7,1,1,0
325,2,7,0,0
326,6,8,0,0
327,5,8,0,0
328,4,3,0,0
329,4,1,0,0
330,6,1,0,0
331,7,1,0,0
332,0,2,0,0
333,5,2,0,0
334,7,1,0,0
335,6,1,0,0
336,7,2,0,0
337,0,2,0,0
338,7,6,0,1
339,7,7,0,1
340,5,6,0,0
341,5,4,0,0
342,7,8,0,1
343,7,8,0,1
344,7,8,0,1
345,7,8,0,1
346,3,7,0,0
347,6,5,0,1
348,6,4,0,1
349,6,5,0,1
350,6,1,0,0
351,7,1,0,0
352,3,3,0,0
353,5,8,0,0
354,7,3,0,0
355,6,6,0,0
356,7,8,0,1
357,7,8,0,1
358,6,5,0,0
359,7,6,0,1
360,7,5,0,1
361,7,5,0,1
